"Date","Time","Open","High","Low","Close","Up","Down"
01/01/2019,03:30,1506.67,1509.82,1495.58,1497.00,71492,92434
01/01/2019,04:00,1496.52,1509.64,1493.00,1504.33,120989,135059
01/01/2019,04:30,1504.40,1509.43,1500.00,1504.77,81280,76368
01/01/2019,05:00,1505.32,1508.42,1491.49,1504.30,197347,213314
01/02/2019,23:00,1465.20,1491.00,1460.93,1488.58,318723,273668
01/02/2019,23:30,1487.33,1509.46,1479.32,1503.24,200124,184132
01/03/2019,00:00,1504.02,1520.00,1498.00,1515.02,167525,163121
01/03/2019,00:30,1515.94,1531.08,1511.60,1524.43,159519,154598
01/03/2019,01:00,1524.85,1527.89,1513.17,1513.35,94043,91073
01/03/2019,01:30,1513.15,1525.43,1511.92,1524.48,88526,81639
01/03/2019,02:00,1524.54,1534.00,1524.35,1532.01,91521,84125
01/03/2019,02:30,1533.51,1549.23,1533.37,1547.56,179214,167204
01/03/2019,03:00,1547.26,1553.36,1544.52,1549.18,145511,128631
01/03/2019,03:30,1549.00,1551.55,1537.63,1548.32,128982,133832
01/03/2019,04:00,1548.78,1553.09,1541.35,1541.40,101094,102351
01/03/2019,04:30,1541.00,1544.93,1533.00,1537.84,131178,155794
01/03/2019,05:00,1538.07,1542.50,1531.58,1539.56,215270,226056
01/03/2019,23:00,1520.20,1538.00,1513.55,1522.94,308019,339638
01/03/2019,23:30,1523.03,1523.03,1502.16,1521.11,259343,249443
01/04/2019,00:00,1520.33,1520.33,1503.16,1515.60,134160,152868
01/04/2019,00:30,1515.84,1529.92,1514.21,1521.18,181776,151211
01/04/2019,01:00,1521.93,1536.00,1518.00,1530.20,149264,142632
01/04/2019,01:30,1528.44,1534.51,1519.08,1524.79,84975,89687
01/04/2019,02:00,1524.47,1529.54,1518.70,1521.86,68002,66238
01/04/2019,02:30,1522.38,1522.38,1508.55,1513.22,77709,88650
01/04/2019,03:00,1512.43,1518.00,1505.60,1507.20,63587,65094
01/04/2019,03:30,1507.20,1518.50,1505.48,1517.57,69363,60104
01/04/2019,04:00,1518.50,1522.79,1503.69,1506.47,86260,90523
01/04/2019,04:30,1506.65,1508.25,1498.11,1503.61,127921,144807
01/04/2019,05:00,1503.43,1512.38,1497.11,1499.41,212750,223473
01/04/2019,23:00,1529.60,1540.33,1518.31,1537.60,308446,335039
01/04/2019,23:30,1538.22,1556.75,1528.00,1556.13,304497,267233
01/05/2019,00:00,1556.66,1560.90,1550.55,1559.87,242531,223061
01/05/2019,00:30,1559.55,1565.52,1556.57,1563.93,205337,189697
01/05/2019,01:00,1562.75,1569.47,1559.55,1566.23,147427,141064
01/05/2019,01:30,1565.69,1579.30,1565.27,1575.21,165747,131186
